employee_id,full_name,job_title,department,business_unit,gender,ethnicity,age,hire_date,annual_salary,bonus_%,country,city,exit_date,latitude,longitude
E00005,Riley Washington,Director,Sales,Speciality Products,Female,Caucasian,39,4/29/2007,"$171,487 ",0.23,United States,Phoenix,,33.6049778,-112.4546902
E00013,Raelynn Ma,Senior Analyst,Finance,Speciality Products,Female,Asian,33,10/8/2015,"$94,876 ",0.0,United States,Miami,,25.7823843,-80.3118592
E00013,Elena Vang,Analyst,Finance,Corporate,Female,Asian,52,2/19/2019,"$55,859 ",0.0,China,Beijing,,39.9384171,116.0678242
E00022,Elena Her,Account Representative,Sales,Manufacturing,Female,Asian,62,9/17/2006,"$64,669 ",0.0,China,Chongqing,,29.5548108,106.3837459
E00023,Gabriel Joseph,Director,Engineering,Manufacturing,Male,Caucasian,52,10/28/2006,"$187,992 ",0.28,United States,Miami,,25.7823843,-80.3118592
E00034,Caroline Herrera,Senior Manager,Marketing,Manufacturing,Female,Latino,45,8/19/2004,"$121,065 ",0.15,Brazil,Rio de Janerio,,-22.9140457,-43.6107907
E00035,Lillian Gonzales,Cloud Infrastructure Architect,IT,Manufacturing,Female,Latino,43,3/13/2009,"$62,335 ",0.0,Brazil,Manaus,,-3.0446589,-60.0495051
E00044,Scarlett Jenkins,System Administrator,IT,Research & Development,Female,Caucasian,53,11/9/2011,"$198,473 ",0.32,United States,Miami,,25.7823843,-80.3118592
E00078,Eva Garcia,HRIS Analyst,Human Resources,Corporate,Female,Latino,31,4/11/2021,"$72,235 ",0.0,Brazil,Manaus,,-3.0446589,-60.0495051
E00085,Isla Wong,System Administrator,Accounting,Corporate,Female,Asian,56,3/16/2014,"$190,815 ",0.4,United States,Austin,,30.3076576,-97.9205502
E00085,Mason Watson,Senior Manager,IT,Corporate,Male,Caucasian,46,9/14/2004,"$130,274 ",0.11,United States,Chicago,,41.8336152,-87.8967698
E00089,Sofia Yoon,Senior Manager,Human Resources,Research & Development,Female,Asian,37,1/17/2011,"$131,353 ",0.11,China,Shanghai,,31.2239286,121.147112
E00091,Emilia Chu,Analyst II,Finance,Manufacturing,Female,Asian,48,6/24/2003,"$55,760 ",0.0,United States,Austin,,30.3076576,-97.9205502
E00096,Peyton Cruz,Development Engineer,Engineering,Manufacturing,Female,Latino,30,5/26/2016,"$91,134 ",0.0,Brazil,Sao Paulo,,-23.6820636,-46.9249441
E00099,Brooklyn Salazar,IT Systems Architect,IT,Manufacturing,Female,Latino,44,3/1/2011,"$82,462 ",0.0,United States,Austin,,30.3076576,-97.9205502
E00102,Riley Rojas,Network Architect,IT,Speciality Products,Female,Latino,36,1/21/2021,"$90,333 ",0.0,Brazil,Rio de Janerio,,-22.9140457,-43.6107907
E00103,Nora Park,Director,Accounting,Speciality Products,Female,Asian,29,6/28/2017,"$197,649 ",0.2,United States,Columbus,,39.9828348,-83.1556352
E00105,Isla Espinoza,Manager,Accounting,Speciality Products,Female,Latino,38,11/16/2021,"$109,812 ",0.09,Brazil,Manaus,,-3.0446589,-60.0495051
E00116,Madelyn Mehta,Analyst,Sales,Speciality Products,Female,Asian,64,1/28/2005,"$55,369 ",0.0,United States,Phoenix,,33.6049778,-112.4546902
E00119,Jack Maldonado,Director,Engineering,Research & Development,Male,Latino,31,8/26/2020,"$189,290 ",0.22,Brazil,Sao Paulo,9/25/2020,-23.6820636,-46.9249441
E00126,Isabella Scott,Network Administrator,IT,Research & Development,Female,Caucasian,58,4/26/2016,"$72,045 ",0.0,United States,Phoenix,,33.6049778,-112.4546902
E00128,Everleigh Espinoza,Director,Human Resources,Manufacturing,Female,Latino,54,1/22/2018,"$176,294 ",0.28,United States,Austin,,30.3076576,-97.9205502
E00130,Paisley Kang,System Administrator,Human Resources,Corporate,Female,Asian,61,3/10/2017,"$196,951 ",0.33,China,Beijing,,39.9384171,116.0678242
E00144,Theodore Ngo,Controls Engineer,Engineering,Research & Development,Male,Asian,55,4/29/2018,"$83,378 ",0.0,China,Beijing,,39.9384171,116.0678242
E00145,Alexander Rivera,Senior Analyst,Sales,Research & Development,Male,Latino,58,4/27/2009,"$76,802 ",0.0,Brazil,Manaus,,-3.0446589,-60.0495051
E00145,Kinsley Dixon,Analyst,Accounting,Manufacturing,Female,Caucasian,28,5/25/2019,"$45,819 ",0.0,United States,Miami,,25.7823843,-80.3118592
E00153,Claire Jones,Field Engineer,Engineering,Corporate,Female,Caucasian,39,3/12/2019,"$62,644 ",0.0,United States,Seattle,,47.606209,-122.332069
E00154,Wyatt Chin,System Administrator,Engineering,Speciality Products,Male,Asian,43,6/7/2004,"$246,231 ",0.31,United States,Seattle,,47.606209,-122.332069
E00156,Madelyn Scott,Senior Manager,IT,Research & Development,Female,Caucasian,46,1/9/2002,"$148,035 ",0.14,United States,Phoenix,,33.6049778,-112.4546902
E00161,Ryan Ha,System Administrator,Marketing,Corporate,Male,Asian,60,1/27/2007,"$234,311 ",0.37,United States,Miami,,25.7823843,-80.3118592
E00163,Bella Powell,Director,Finance,Research & Development,Female,Black,65,3/4/2002,"$175,837 ",0.2,United States,Phoenix,,33.6049778,-112.4546902
E00170,Hannah Nelson,Senior Analyst,Marketing,Speciality Products,Female,Caucasian,35,9/7/2019,"$70,992 ",0.0,United States,Austin,,30.3076576,-97.9205502
E00170,Claire Adams,Director,Sales,Manufacturing,Female,Black,61,8/19/1997,"$159,567 ",0.28,United States,Phoenix,,33.6049778,-112.4546902
E00178,Harper Alexander,Senior Analyst,Sales,Speciality Products,Female,Caucasian,26,10/14/2019,"$79,356 ",0.0,United States,Phoenix,,33.6049778,-112.4546902
E00181,Genesis Hu,Senior Analyst,Marketing,Corporate,Female,Asian,46,1/15/2002,"$86,510 ",0.0,China,Beijing,1/2/2003,39.9384171,116.0678242
E00184,Kayden Ortega,Analyst,Accounting,Manufacturing,Male,Latino,58,4/19/2010,"$56,350 ",0.0,Brazil,Rio de Janerio,,-22.9140457,-43.6107907
E00187,Miles Mehta,Director,Finance,Research & Development,Male,Asian,64,5/2/1996,"$189,933 ",0.23,United States,Miami,,25.7823843,-80.3118592
E00203,Julia Doan,Business Partner,Human Resources,Speciality Products,Female,Asian,53,9/7/2017,"$46,727 ",0.0,United States,Columbus,5/31/2018,39.9828348,-83.1556352
E00206,Theodore Xi,Manager,Finance,Corporate,Male,Asian,52,10/5/2009,"$122,890 ",0.07,China,Shanghai,,31.2239286,121.147112
E00207,Hailey Lai,System Administrator,Human Resources,Manufacturing,Female,Asian,52,7/23/2012,"$187,048 ",0.32,China,Chengdu,,30.6584246,103.9107386
